,Laptop Name,Processor,Ram,Orignal Price,Discounted Price,Total Reviews,Total Ratings,Avarage Rating,Image link
0,ASUS Vivobook 15 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,43990.0,27990.0,30.0,349.0,4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
1,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,100.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
2,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,45990.0,33990.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
3,ASUS VivoBook 15 (2022) Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,57990.0,43990.0,211.0,2408.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
4,HP Athlon Dual Core 3050U,AMD Athlon Dual Core Processor,8,39288.0,29990.0,0.0,11.0,4.8,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/j/c/-original-imagh3wecapg5gqn.jpeg?q=70
5,HP Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,49508.0,40999.0,148.0,1728.0,4.3,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
6,HP Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,16,62754.0,49990.0,2.0,12.0,4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
7,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,AMD Ryzen 5 Quad Core Processor,8,57990.0,36990.0,14.0,161.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
8,Lenovo IdeaPad 3 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,59390.0,37990.0,201.0,2153.0,4.2,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/f/i/u/na-thin-and-light-laptop-lenovo-original-imag5jy6fsm2yx4q.jpeg?q=70
9,ASUS Vivobook 15 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50990.0,35980.0,0.0,12.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/h/l/x515ja-ej382ws-laptop-asus-original-imaghxfzcc6dgrqk.jpeg?q=70
10,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,38990.0,6.0,72.0,4.4,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70
11,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,62990.0,44990.0,35.0,204.0,4.4,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
12,DELL Inspiron Athlon Dual Core 3050U,AMD Athlon Silver 3050U (2.30 GHz up to 3.20 GHz),8,46263.0,32490.0,32.0,509.0,4.2,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/computer/e/u/0/inspiron-3525-notebook-dell-original-imagcyrebyny33kd.jpeg?q=70
13,Lenovo IdeaPad 3 Celeron Dual Core,Intel Celeron Dual Core Processor,8,40490.0,27490.0,8.0,84.0,4.2,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
14,Lenovo IdeaPad Gaming Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,76890.0,48990.0,87.0,980.0,4.4,https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70
15,acer Aspire 7 Ryzen 5 Hexa Core AMD R5,Free upgrade to Windows 11 when available,None,89999.0,45990.0,502.0,3872.0,4.5,https://rukminim1.flixcart.com/image/312/312/klcmoi80/computer/q/e/3/na-gaming-laptop-acer-original-imagyhwfgwhkf3vv.jpeg?q=70
16,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50990.0,36999.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
17,ASUS Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,50990.0,33990.0,118.0,863.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
18,HP Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,47206.0,37999.0,22.0,265.0,4.2,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
19,MSI Modern 14 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8,61990.0,45990.0,278.0,1993.0,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/o/b/modern-14-b5m-notebook-msi-original-imaggmfqjsdatppv.jpeg?q=70
20,ASUS Vivobook 15 Touch Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,60990.0,42990.0,14.0,85.0,4.4,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
21,ASUS VivoBook Flip 14 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,63990.0,45990.0,3.0,44.0,4.6,https://rukminim1.flixcart.com/image/312/312/kkyc9zk0/computer/j/z/b/na-2-in-1-laptop-asus-original-imagy6zh6zq2npfx.jpeg?q=70
22,acer Extensa Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,41999.0,33990.0,13.0,116.0,4.3,https://rukminim1.flixcart.com/image/312/312/l5e81ow0/computer/j/w/o/ex-215-54-thin-and-light-laptop-acer-original-imagg28wzdeny2jq.jpeg?q=70
23,ASUS VivoBook 14 (2022) Ryzen 3 Dual Core AMD R3,AMD Ryzen 3 Dual Core Processor,8,46990.0,28990.0,236.0,1948.0,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
24,RedmiBook Pro Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,59999.0,39990.0,332.0,2540.0,4.2,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
25,ASUS Vivobook 15 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,69990.0,45990.0,2.0,6.0,4.8,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
26,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,100.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
27,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,AMD Ryzen 7 Quad Core Processor,16,70990.0,47990.0,29.0,270.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
28,RedmiBook 15 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,51990.0,30990.0,214.0,1841.0,4.2,https://rukminim1.flixcart.com/image/312/312/krxtrww0/computer/e/l/c/redmibook-15-e-learning-edition-thin-and-light-laptop-redmi-original-imag5m8jkjbaybeu.jpeg?q=70
29,ASUS Vivobook 15 Touch Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,60990.0,42990.0,14.0,85.0,4.4,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
